cam20-p2p-1,00002,0.793,0.128,0.938,0.506,2,0
cam20-p2p-1,00002,0.634,0.040,0.857,0.413,1,0
cam20-p2p-1,00004,0.798,0.124,0.938,0.504,1,0
cam20-p2p-1,00004,0.646,0.049,0.836,0.424,2,0
cam20-p2p-1,00006,0.662,0.007,0.792,0.417,1,0
cam20-p2p-1,00006,0.757,0.037,0.859,0.387,2,0
cam20-p2p-1,00009,0.730,0.022,0.842,0.375,1,0
cam20-p2p-1,00009,0.644,0.007,0.759,0.406,2,0
cam20-p2p-1,00010,0.816,0.121,0.939,0.486,1,0
cam20-p2p-1,00010,0.741,0.026,0.848,0.395,2,0
cam20-p2p-1,00011,0.804,0.108,0.947,0.499,2,0
cam20-p2p-1,00011,0.735,0.042,0.857,0.382,1,0
cam20-p2p-1,00013,0.800,0.119,0.960,0.523,2,0
cam20-p2p-1,00013,0.645,0.018,0.859,0.424,1,0
cam20-p2p-1,00015,0.642,0.053,0.827,0.419,2,0
cam20-p2p-1,00015,0.794,0.130,0.940,0.499,1,0
cam20-p2p-1,00017,0.746,0.046,0.843,0.391,2,0
cam20-p2p-1,00017,0.632,0.022,0.794,0.417,1,0
cam20-p2p-1,00019,0.626,0.033,0.771,0.422,2,0
cam20-p2p-1,00019,0.739,0.018,0.843,0.400,1,0
cam20-p2p-1,00024,0.812,0.126,0.943,0.499,1,0
cam20-p2p-1,00024,0.733,0.029,0.861,0.397,2,0
cam20-p2p-1,00025,0.624,0.038,0.836,0.453,1,0
cam20-p2p-1,00025,0.778,0.119,0.948,0.493,2,0
cam20-p2p-1,00031,0.740,0.033,0.846,0.384,2,0
cam20-p2p-1,00031,0.634,0.046,0.777,0.435,1,0
cam20-p2p-1,00033,0.784,0.139,0.952,0.503,1,0
cam20-p2p-1,00033,0.646,0.042,0.834,0.450,2,0
cam20-p2p-1,00034,0.626,0.060,0.762,0.413,3,0
cam20-p2p-1,00042,0.794,0.015,0.922,0.362,1,0
cam20-p2p-1,00042,0.693,0.004,0.834,0.345,2,0
cam20-p2p-1,00045,0.854,0.126,0.989,0.486,1,0
cam20-p2p-1,00045,0.828,0.020,0.957,0.364,2,0
cam20-p2p-1,00049,0.838,0.044,0.961,0.351,3,0
cam20-p2p-1,00049,0.706,0.000,0.815,0.356,3,0
cam20-p2p-1,00049,0.870,0.139,0.999,0.486,3,0
cam20-p2p-1,00054,0.827,0.022,0.951,0.377,1,0
cam20-p2p-1,00054,0.871,0.115,1.000,0.512,2,0
cam20-p2p-1,00056,0.709,0.004,0.857,0.369,1,0
cam20-p2p-1,00056,0.815,0.004,0.925,0.351,2,0
cam20-p2p-1,00059,0.825,0.097,0.963,0.466,1,0
cam20-p2p-1,00059,0.701,0.000,0.860,0.373,2,0
cam20-p2p-1,00063,0.709,0.009,0.871,0.369,1,0
cam20-p2p-1,00065,0.690,0.002,0.825,0.367,3,0
cam20-p2p-1,00067,0.844,0.106,0.996,0.499,3,0
cam20-p2p-1,00078,0.760,0.141,0.939,0.517,3,0
cam20-p2p-1,00085,0.699,0.006,0.857,0.366,2,0
cam20-p2p-1,00085,0.791,0.119,0.927,0.514,1,0
cam20-p2p-1,00086,0.797,0.133,0.961,0.545,2,0
cam20-p2p-1,00086,0.703,0.013,0.841,0.391,1,0
cam20-p2p-1,00089,0.812,0.143,0.932,0.484,3,0
cam20-p2p-1,00093,0.839,0.073,0.945,0.393,1,0
cam20-p2p-1,00093,0.705,0.004,0.869,0.373,2,0
cam20-p2p-1,00097,0.716,0.015,0.866,0.373,1,0
cam20-p2p-1,00097,0.809,0.146,0.937,0.519,2,0
cam20-p2p-1,00102,0.729,0.011,0.883,0.369,2,0
cam20-p2p-1,00102,0.836,0.048,0.940,0.377,1,0
cam20-p2p-1,00106,0.807,0.122,0.945,0.512,1,0
cam20-p2p-1,00106,0.731,0.015,0.855,0.398,2,0
cam20-p2p-1,00108,0.801,0.117,0.941,0.506,2,0
cam20-p2p-1,00108,0.718,0.016,0.850,0.373,1,0
cam20-p2p-1,00110,0.722,0.018,0.875,0.377,2,0
cam20-p2p-1,00111,0.718,0.011,0.875,0.360,1,0
cam20-p2p-1,00111,0.837,0.053,0.942,0.384,2,0
cam20-p2p-1,00114,0.800,0.122,0.952,0.530,1,0
cam20-p2p-1,00114,0.715,0.018,0.866,0.398,2,0
cam20-p2p-1,00130,0.771,0.079,0.895,0.424,3,0
cam20-p2p-1,00130,0.619,0.016,0.750,0.420,3,0
cam20-p2p-1,00133,0.642,0.115,0.804,0.483,2,0
cam20-p2p-1,00133,0.777,0.199,0.964,0.525,1,0
cam20-p2p-1,00135,0.738,0.091,0.883,0.451,1,0
cam20-p2p-1,00135,0.835,0.201,0.974,0.515,2,0
cam20-p2p-1,00137,0.865,0.252,0.999,0.532,3,0
cam20-p2p-1,00138,0.646,0.143,0.788,0.446,2,0
cam20-p2p-1,00138,0.724,0.090,0.844,0.448,1,0
cam20-p2p-1,00139,0.841,0.214,1.000,0.515,1,0
cam20-p2p-1,00139,0.740,0.093,0.880,0.451,2,0
cam20-p2p-1,00141,0.655,0.154,0.839,0.472,1,0
cam20-p2p-1,00141,0.824,0.181,0.977,0.528,2,0
cam20-p2p-1,00143,0.893,0.234,0.999,0.546,3,0
cam20-p2p-1,00144,0.636,0.146,0.771,0.450,2,0
cam20-p2p-1,00144,0.732,0.075,0.846,0.462,1,0
cam20-p2p-1,00144,0.922,0.254,0.996,0.557,3,0
cam20-p2p-1,00146,0.691,0.183,0.808,0.493,3,0
cam20-p2p-1,00147,0.771,0.203,0.916,0.514,3,0
cam20-p2p-1,00158,0.620,0.411,0.774,0.678,3,0
cam20-p2p-1,00158,0.433,0.281,0.569,0.550,3,0
cam20-p2p-1,00158,0.842,0.239,1.000,0.525,1,0
cam20-p2p-1,00161,0.789,0.426,0.916,0.546,3,0
cam20-p2p-1,00164,0.827,0.228,0.999,0.543,2,0
cam20-p2p-1,00171,0.819,0.227,0.993,0.506,1,0
cam20-p2p-1,00173,0.827,0.241,1.000,0.503,1,0
cam20-p2p-1,00180,0.831,0.234,0.990,0.512,2,0
cam20-p2p-1,00183,0.823,0.218,0.992,0.499,1,0
cam20-p2p-1,00190,0.833,0.228,0.988,0.526,2,0
cam20-p2p-1,00203,0.838,0.232,0.975,0.532,2,0
cam20-p2p-1,00205,0.844,0.245,0.997,0.510,1,0
cam20-p2p-1,00212,0.838,0.219,0.971,0.506,2,0
cam20-p2p-1,00216,0.825,0.227,0.952,0.504,2,0
cam20-p2p-1,00220,0.570,0.016,0.718,0.466,3,0
