1ReZIMmD_8E,1048,0.410,0.086,0.962,0.896,1,22
dgLApPvmfBE,1043,0.052,0.143,0.787,0.990,1,100
TzaVHtLXOzY,1787,0.076,0.046,0.982,0.988,1,170
cKA-qeZuH_w,1037,0.000,0.059,0.774,0.988,1,78
fD6VkIRlIRI,0920,0.017,0.227,0.604,0.965,1,13
_-Z6wFjXtGQ,1182,0.536,0.220,0.884,0.987,1,109
1ReZIMmD_8E,1046,0.659,0.083,0.990,0.967,1,22
OfMdakd4bHI,1449,0.028,0.170,0.383,0.983,1,361
7YpF6DntOYw,1488,0.575,0.165,0.862,0.945,1,290
Vmef_8MY46w,1275,0.427,0.164,0.756,0.954,1,218
xO4ABy2iOQA,1261,0.032,0.118,0.496,0.976,1,280
1ReZIMmD_8E,1048,0.410,0.086,0.962,0.896,1,22
yqImJuC5UzI,1360,0.467,0.127,0.992,0.978,1,230
sUVhd0YTKgw,1186,0.365,0.243,0.736,0.991,1,216
sUVhd0YTKgw,1797,0.007,0.124,0.650,0.991,1,631
32HR3MnDZ8g,1478,0.519,0.118,0.824,0.982,1,150
TM5MPJIq1Is,1027,0.384,0.181,0.649,0.622,1,36
Ksd1JQFHYWA,1712,0.641,0.193,0.779,0.957,1,589
IKdBLciu_-A,1235,0.462,0.053,0.913,0.992,1,210
7nHkh4sP5Ks,1174,0.144,0.187,0.460,0.995,1,65
UOfuzrwkclM,0939,0.452,0.426,0.704,0.854,1,11
Ag-pXiLrd48,1759,0.095,0.108,0.505,0.863,1,214
l-jxh8gpxuY,0998,0.000,0.045,0.343,1.000,1,71
P60OxWahxBQ,1070,0.168,0.259,0.423,0.980,1,133
QotkBTEePI8,1212,0.521,0.108,0.824,0.974,1,70
xp67EC-Hvwk,1309,0.092,0.044,0.563,0.987,1,138
BCiuXAuCKAU,1354,0.686,0.002,0.972,0.633,1,157
TzaVHtLXOzY,1787,0.076,0.046,0.982,0.988,1,170
2fwni_Kjf2M,1131,0.262,0.285,0.399,0.932,1,61
HKjR70GCRPE,1729,0.558,0.199,0.953,0.983,1,474
lT1zdTL-3SM,1182,0.346,0.021,0.610,0.671,1,159
Hi8QeP_VPu0,1341,0.376,0.068,0.869,0.981,1,151
lT1zdTL-3SM,1180,0.454,0.008,0.669,0.604,1,159
b50s4AlOOKY,0998,0.238,0.335,0.490,0.781,1,83
j35JnR0Q7Es,1393,0.364,0.209,0.628,0.936,1,218
rFgb2ECMcrY,1018,0.186,0.227,0.566,0.951,1,110
J4bt4y9ShTA,1739,0.000,0.000,0.591,0.999,1,320
tjqCzVjojCo,1447,0.508,0.101,0.991,0.919,1,135
QotkBTEePI8,1337,0.151,0.093,0.616,0.913,1,100
2FIHxnZKg6A,1226,0.074,0.321,0.502,0.850,1,127
dgLApPvmfBE,1705,0.354,0.006,0.639,0.928,1,384
32HR3MnDZ8g,1620,0.238,0.142,0.572,0.992,1,205
eA55_shhKko,1619,0.527,0.318,0.835,0.868,1,354
2bxKkUgcqpk,1162,0.028,0.082,0.963,0.923,1,60
053oq2xB3oU,1355,0.015,0.159,0.626,0.858,1,522
pieVIsGmLsc,1217,0.447,0.314,0.771,0.889,1,128
wEAeql4z1O0,1054,0.209,0.236,0.577,0.901,1,71
32HR3MnDZ8g,1478,0.519,0.118,0.824,0.982,1,150
XF87VL5T0aA,1025,0.194,0.178,0.358,0.572,1,61
2fwni_Kjf2M,1131,0.262,0.285,0.399,0.932,1,61
sUVhd0YTKgw,1797,0.007,0.124,0.650,0.991,1,631
mkcDANJjDcM,1082,0.299,0.157,0.909,0.967,1,47
NEQ7Wpf-EtI,1124,0.092,0.125,0.533,0.968,1,201
QotkBTEePI8,1337,0.151,0.093,0.616,0.913,1,100
oITFHwzfw_k,1216,0.180,0.088,0.930,1.000,1,291
